commit_hash,author,message,file_path,commit_url,removed_chunk,added_chunk,commit_date
f7b2735d2320eecafe478f3e4dd77ccaab848194,Ben Newman,Reimplement fiberHelpers.parallelEach without explicit Fibers.,tools/utils/fiber-helpers.js,https://github.com/meteor/meteor/commit/f7b2735d2320eecafe478f3e4dd77ccaab848194,"  var errors = [];

  var results = Promise.all(_.map(collection, function (...args) {

    return new Promise(function (resolve, reject) {

      Fiber(function () {

        try {

          resolve(callback.apply(context, args));

        } catch (err) {

          reject(err);

        }

      }).run();

    }).catch(function (error) {
","  const errors = [];

  const results = Promise.all(_.map(collection, (...args) => {

    async function run() {

      return callback.apply(context, args);

    }



    return run().catch(error => {
",2015-07-01 12:47:59-04:00
4b17a0b760086ced573124a85b467e23ec44af18,Ben Newman,"Allow sending IPC messages from build process to server process.

Instead of having every message consumer listen to every message and act
on the ones that seem relevant to its interests, we now have a single
process.on(""message"", callback) hook that can dispatch messages to
different Meteor packages running in the server process.

Receiving packages should export an onMessage function. The onMessage
function may be async, and its result will be delivered back to the build
process as the result of the sendMessage Promise.",tools/runners/run-app.js,https://github.com/meteor/meteor/commit/4b17a0b760086ced573124a85b467e23ec44af18,"    let lastSendMessagePromise = Promise.resolve();

    function sendMessageAsync(message) {

      // Keep the messages strictly ordered, one after the last.

      return lastSendMessagePromise =

        lastSendMessagePromise.then(both, both);



      function both() {

        return new Promise((resolve, reject) => {

          appProcess.proc.send(message, error => {

            error ? reject(error) : resolve();

          });

        });

      }

    }



    function refreshClient(arch) {

        sendMessageAsync({

          ""package"": ""webapp"",

          ""method"": ""generateClientProgram"",

          ""args"": [arch],

      return sendMessageAsync({
","    async function refreshClient(arch) {

        await appProcess.proc.sendMessage(""webapp"", {

          method: ""generateClientProgram"",

          args: [arch],

      await appProcess.proc.sendMessage(""autoupdate"", {
",2018-07-09 17:55:41-04:00
1387473cf56dfa095f57eb472288e68530f6ecd4,Ben Newman,"Pause requests for the legacy bundle while rewriting it.

This is the solution I came up with for the problems I described here:
https://github.com/meteor/meteor/pull/10055#issuecomment-403219805",tools/isobuild/bundler.js,https://github.com/meteor/meteor/commit/1387473cf56dfa095f57eb472288e68530f6ecd4,"        postStartupCallbacks.push(({

          // Build and write the target in one step.

          writeClientTarget(makeClientTarget(app, arch, { minifiers }));

          return refreshClient(arch).then(() => {

            runLog.log(`Finished delayed build of ${arch} in ${

              new Date - start

            }ms`, { arrow: true });

          });
","        postStartupCallbacks.push(async ({

          pauseClient,

          // Build the target first.

          const target = makeClientTarget(app, arch, { minifiers });



          // Tell the webapp package to pause responding to requests from

          // clients that use this arch, because we're about to write a

          // new version of this bundle to disk.

          await pauseClient(arch);



          // Now write the target to disk. Note that we are rewriting the

          // bundle in place, so this work is not atomic by any means,

          // which is why we needed to pause the client.

          writeClientTarget(target);



          // Refresh and unpause the client, now that writing is finished.

          await refreshClient(arch);

          runLog.log(`Finished delayed build of ${arch} in ${

            new Date - start

          }ms`, { arrow: true });
",2018-07-10 19:19:32-04:00
996ab0b831bfff60e325e1895a7c35f1cc0e2f24,Edimar Cardoso,"Using `Promise.await` to resolve the async method.

Suggested in Code Review",packages/minifier-css/minifier.js,https://github.com/meteor/meteor/commit/996ab0b831bfff60e325e1895a7c35f1cc0e2f24,"    const f = new Future();

    CssTools.minifyCssAsync(cssText)

      .then((res) => f.return(res))

      .catch((error) => f.throw(error));

    // Since this function has always returned an array, we'll wrap the

    // minified css string in an array before returning, even though we're

    // only ever returning one minified css string in that array (maintaining

    // backwards compatibility).

    return f.wait();
","    return Promise.await(CssTools.minifyCssAsync(cssText));
",2022-07-29 09:25:30-03:00
e7060c29f4a3fbaf91d0fe291700f1fb46e6e9e5,Edimar Cardoso,Make method test async and return promise to handle rejection.,packages/minifier-css/minifier-async-tests.js,https://github.com/meteor/meteor/commit/e7060c29f4a3fbaf91d0fe291700f1fb46e6e9e5,"  (test, onComplete) => {

    Promise.all(promises).then(() => onComplete());
","  async (test) => {

    return Promise.all(promises);
",2022-07-29 10:27:06-03:00
d08790778a984e28ac73d81a5f42cd366b82ceb0,Edimar Cardoso,Changing accounts-password to no more use Meteor.wrapAsync.,packages/accounts-password/password_server.js,https://github.com/meteor/meteor/commit/d08790778a984e28ac73d81a5f42cd366b82ceb0,"  return hashPassword(newPlaintextPassword).then(hash => {

    const update = {

      $unset: {

        'services.password.reset': 1

      },

      $set: {'services.password.bcrypt': hash}

    };

    if (options.logout) {

      update.$unset['services.resume.loginTokens'] = 1;

    }

    Meteor.users.update({_id: user._id}, update);

  });
","  const update = {

    $unset: {

      'services.password.reset': 1

    },

    $set: {'services.password.bcrypt': await hashPassword(newPlaintextPassword)}

  };

  if (options.logout) {

    update.$unset['services.resume.loginTokens'] = 1;

  }

  Meteor.users.update({_id: user._id}, update);

};



/**

 * @summary Forcibly change the password for a user.

 * @locus Server

 * @param {String} userId The id of the user to update.

 * @param {String} newPassword A new password for the user.

 * @param {Object} [options]

 * @param {Object} options.logout Logout all current connections with this userId (default: true)

 * @importFromPackage accounts-base

 */

Accounts.setPassword = (userId, newPlaintextPassword, options) => {

  return Promise.await(Accounts.setPasswordAsync(userId, newPlaintextPassword, options));
",2022-08-26 15:53:40-03:00
b86b2a122c4dcc3e82d11c87e6e8922720140c1d,denihs,"Removing withValueAsync from the server, and using the setNewContextAndGetCurrent and set strategy.

When creating a new fiber inside withValueAsync, some contexts where missing, and when calling Meteor.call without a callback, no result were returned.",packages/ddp-server/livedata_server.js,https://github.com/meteor/meteor/commit/b86b2a122c4dcc3e82d11c87e6e8922720140c1d,"      promise.then((result) => {

      }, (exception) => {

      });
","      try {

        const result = Promise.await(promise);

      } catch (exception) {

      }
",2022-10-05 13:27:16-04:00
3186c0436b0d31ed5e13cbaa9b33e87e7f1678d1,Matheus Castro,Trying to make oplog work without Fibers.,packages/mongo/oplog_observe_driver.js,https://github.com/meteor/meteor/commit/3186c0436b0d31ed5e13cbaa9b33e87e7f1678d1,"  _doneQuerying: function () {

    const afterCaughtUp = () => {

      if (self._stopped)

        return;

      if (self._phase !== PHASE.QUERYING)

        throw Error(""Phase unexpectedly "" + self._phase);



      Meteor._noYieldsAllowed(function () {

        if (self._requeryWhenDoneThisQuery) {

          self._requeryWhenDoneThisQuery = false;

          self._pollQuery();

        } else if (self._needToFetch.empty()) {

          self._beSteady();

        } else {

          self._fetchModifiedDocuments();

        }

      });

    };

    if (Meteor._isFibersEnabled) {

      self._mongoHandle._oplogHandle.waitUntilCaughtUp();  // yields

      return afterCaughtUp();

    }

    // TODO -> Should we wait? This doesn't make much sense without Fibers.

