commit_hash,author,message,file_path,commit_url,removed_chunk,added_chunk,commit_date
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	private _doValidate(resource: Uri): void {

		this._worker(resource).then(worker => {

			if (!monaco.editor.getModel(resource)) {

				// model was disposed in the meantime

				return null;

			}

			const promises: Promise<ts.Diagnostic[]>[] = [];

			const { noSyntaxValidation, noSemanticValidation, noSuggestionDiagnostics } = this._defaults.getDiagnosticsOptions();

			if (!noSyntaxValidation) {

				promises.push(worker.getSyntacticDiagnostics(resource.toString()));

			}

			if (!noSemanticValidation) {

				promises.push(worker.getSemanticDiagnostics(resource.toString()));

			}

			if (!noSuggestionDiagnostics) {

				promises.push(worker.getSuggestionDiagnostics(resource.toString()));

			}

			return Promise.all(promises);

		}).then(diagnostics => {

			if (!diagnostics || !monaco.editor.getModel(resource)) {

				// model was disposed in the meantime

				return null;

			}

			const markers = diagnostics

				.reduce((p, c) => c.concat(p), [])

				.filter(d => (this._defaults.getDiagnosticsOptions().diagnosticCodesToIgnore || []).indexOf(d.code) === -1)

				.map(d => this._convertDiagnostics(resource, d));



			monaco.editor.setModelMarkers(monaco.editor.getModel(resource), this._selector, markers);

		}).then(undefined, err => {

			console.error(err);

		});

	private _convertDiagnostics(resource: Uri, diag: ts.Diagnostic): monaco.editor.IMarkerData {

		const { lineNumber: startLineNumber, column: startColumn } = this._offsetToPosition(resource, diag.start);

		const { lineNumber: endLineNumber, column: endColumn } = this._offsetToPosition(resource, diag.start + diag.length);
","	private async _doValidate(model: monaco.editor.ITextModel): Promise<void> {

		const worker = await this._worker(model.uri);



		if (model.isDisposed()) {

			// model was disposed in the meantime

			return;

		}



		const promises: Promise<ts.Diagnostic[]>[] = [];

		const { noSyntaxValidation, noSemanticValidation, noSuggestionDiagnostics } = this._defaults.getDiagnosticsOptions();

		if (!noSyntaxValidation) {

			promises.push(worker.getSyntacticDiagnostics(model.uri.toString()));

		}

		if (!noSemanticValidation) {

			promises.push(worker.getSemanticDiagnostics(model.uri.toString()));

		}

		if (!noSuggestionDiagnostics) {

			promises.push(worker.getSuggestionDiagnostics(model.uri.toString()));

		}



		const diagnostics = await Promise.all(promises);



		if (!diagnostics || model.isDisposed()) {

			// model was disposed in the meantime

			return;

		}



		const markers = diagnostics

			.reduce((p, c) => c.concat(p), [])

			.filter(d => (this._defaults.getDiagnosticsOptions().diagnosticCodesToIgnore || []).indexOf(d.code) === -1)

			.map(d => this._convertDiagnostics(model, d));



		monaco.editor.setModelMarkers(model, this._selector, markers);

	private _convertDiagnostics(model: monaco.editor.ITextModel, diag: ts.Diagnostic): monaco.editor.IMarkerData {

		const diagStart = diag.start || 0;

		const diagLength = diag.length || 1;

		const { lineNumber: startLineNumber, column: startColumn } = model.getPositionAt(diagStart);

		const { lineNumber: endLineNumber, column: endColumn } = model.getPositionAt(diagStart + diagLength);
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	provideCompletionItems(model: monaco.editor.IReadOnlyModel, position: Position, _context: monaco.languages.CompletionContext, token: CancellationToken): Thenable<monaco.languages.CompletionList> {

		const offset = this._positionToOffset(resource, position);

		return this._worker(resource).then(worker => {

			return worker.getCompletionsAtPosition(resource.toString(), offset);

		}).then(info => {

			if (!info) {

				return;

			}

			let suggestions: MyCompletionItem[] = info.entries.map(entry => {

				let range = wordRange;

				if (entry.replacementSpan) {

					const p1 = model.getPositionAt(entry.replacementSpan.start);

					const p2 = model.getPositionAt(entry.replacementSpan.start + entry.replacementSpan.length);

					range = new Range(p1.lineNumber, p1.column, p2.lineNumber, p2.column);

				}

				return {

					uri: resource,

					position: position,

					range: range,

					label: entry.name,

					insertText: entry.name,

					sortText: entry.sortText,

					kind: SuggestAdapter.convertKind(entry.kind)

				};

			});

				suggestions

	resolveCompletionItem(_model: monaco.editor.IReadOnlyModel, _position: Position, item: monaco.languages.CompletionItem, token: CancellationToken): Thenable<monaco.languages.CompletionItem> {

		let myItem = <MyCompletionItem>item;

		return this._worker(resource).then(worker => {

			return worker.getCompletionEntryDetails(resource.toString(),

				this._positionToOffset(resource, position),

				myItem.label);



		}).then(details => {

			if (!details) {

				return myItem;

			return <MyCompletionItem>{

				uri: resource,

				position: position,

				label: details.name,

				kind: SuggestAdapter.convertKind(details.kind),

				detail: displayPartsToString(details.displayParts),

				documentation: {

					value: displayPartsToString(details.documentation)

				}

			};

		});
","	public async provideCompletionItems(model: monaco.editor.ITextModel, position: Position, _context: monaco.languages.CompletionContext, token: CancellationToken): Promise<monaco.languages.CompletionList | undefined> {

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const info = await worker.getCompletionsAtPosition(resource.toString(), offset);

		if (!info || model.isDisposed()) {

			return;

		}



		const suggestions: MyCompletionItem[] = info.entries.map(entry => {

			let range = wordRange;

			if (entry.replacementSpan) {

				const p1 = model.getPositionAt(entry.replacementSpan.start);

				const p2 = model.getPositionAt(entry.replacementSpan.start + entry.replacementSpan.length);

				range = new Range(p1.lineNumber, p1.column, p2.lineNumber, p2.column);

			}

				uri: resource,

				position: position,

				range: range,

				label: entry.name,

				insertText: entry.name,

				sortText: entry.sortText,

				kind: SuggestAdapter.convertKind(entry.kind)



		return {

			suggestions

		};

	public async resolveCompletionItem(model: monaco.editor.ITextModel, _position: Position, item: monaco.languages.CompletionItem, token: CancellationToken): Promise<monaco.languages.CompletionItem> {

		const myItem = <MyCompletionItem>item;

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const details = await worker.getCompletionEntryDetails(resource.toString(), offset, myItem.label);

		if (!details || model.isDisposed()) {

			return myItem;

		}

		return <MyCompletionItem>{

			uri: resource,

			position: position,

			label: details.name,

			kind: SuggestAdapter.convertKind(details.kind),

			detail: displayPartsToString(details.displayParts),

			documentation: {

				value: displayPartsToString(details.documentation)

		};
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	provideSignatureHelp(model: monaco.editor.IReadOnlyModel, position: Position, token: CancellationToken): Thenable<monaco.languages.SignatureHelpResult> {

		let resource = model.uri;

		return this._worker(resource).then(worker => worker.getSignatureHelpItems(resource.toString(), this._positionToOffset(resource, position))).then(info => {

			if (!info) {

				return;

			}

			let ret: monaco.languages.SignatureHelp = {

				activeSignature: info.selectedItemIndex,

				activeParameter: info.argumentIndex,

				signatures: []

			};

			info.items.forEach(item => {

				let signature: monaco.languages.SignatureInformation = {

					label: '',

					parameters: []

				};

				signature.documentation = displayPartsToString(item.documentation);

				signature.label += displayPartsToString(item.prefixDisplayParts);

				item.parameters.forEach((p, i, a) => {

					let label = displayPartsToString(p.displayParts);

					let parameter: monaco.languages.ParameterInformation = {

						label: label,

						documentation: displayPartsToString(p.documentation)

					};

					signature.label += label;

					signature.parameters.push(parameter);

					if (i < a.length - 1) {

						signature.label += displayPartsToString(item.separatorDisplayParts);

					}

				});

				signature.label += displayPartsToString(item.suffixDisplayParts);

				ret.signatures.push(signature);



			return {

				value: ret,

				dispose() { }

			};
","	public async provideSignatureHelp(model: monaco.editor.ITextModel, position: Position, token: CancellationToken): Promise<monaco.languages.SignatureHelpResult | undefined> {

		const resource = model.uri;

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const info = await worker.getSignatureHelpItems(resource.toString(), offset);

		if (!info || model.isDisposed()) {

			return;

		}

		const ret: monaco.languages.SignatureHelp = {

			activeSignature: info.selectedItemIndex,

			activeParameter: info.argumentIndex,

			signatures: []

		};

		info.items.forEach(item => {

			const signature: monaco.languages.SignatureInformation = {

				label: '',

				parameters: []

			};

			signature.documentation = displayPartsToString(item.documentation);

			signature.label += displayPartsToString(item.prefixDisplayParts);

			item.parameters.forEach((p, i, a) => {

				const label = displayPartsToString(p.displayParts);

				const parameter: monaco.languages.ParameterInformation = {

					label: label,

					documentation: displayPartsToString(p.documentation)

				};

				signature.label += label;

				signature.parameters.push(parameter);

				if (i < a.length - 1) {

					signature.label += displayPartsToString(item.separatorDisplayParts);

				}

			signature.label += displayPartsToString(item.suffixDisplayParts);

			ret.signatures.push(signature);



		return {

			value: ret,

			dispose() { }

		};
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	provideHover(model: monaco.editor.IReadOnlyModel, position: Position, token: CancellationToken): Thenable<monaco.languages.Hover> {

		let resource = model.uri;

		return this._worker(resource).then(worker => {

			return worker.getQuickInfoAtPosition(resource.toString(), this._positionToOffset(resource, position));

		}).then(info => {

			if (!info) {

				return;

			let documentation = displayPartsToString(info.documentation);

			let tags = info.tags ? info.tags.map(tag => {

				const label = `*@${tag.name}*`;

				if (!tag.text) {

					return label;

				}

				return label + (tag.text.match(/\r\n|\n/g) ? ' \n' + tag.text : ` - ${tag.text}`);

			})

				.join('  \n\n') : '';

			let contents = displayPartsToString(info.displayParts);

			return {

				range: this._textSpanToRange(resource, info.textSpan),

				contents: [{

					value: '```js\n' + contents + '\n```\n'

				}, {

					value: documentation + (tags ? '\n\n' + tags : '')

				}]

			};

		});
","	public async provideHover(model: monaco.editor.ITextModel, position: Position, token: CancellationToken): Promise<monaco.languages.Hover | undefined> {

		const resource = model.uri;

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const info = await worker.getQuickInfoAtPosition(resource.toString(), offset);

		if (!info || model.isDisposed()) {

			return;

		}



		const documentation = displayPartsToString(info.documentation);

		const tags = info.tags ? info.tags.map(tag => {

			const label = `*@${tag.name}*`;

			if (!tag.text) {

				return label;

			return label + (tag.text.match(/\r\n|\n/g) ? ' \n' + tag.text : ` - ${tag.text}`);

		}).join('  \n\n') : '';

		const contents = displayPartsToString(info.displayParts);

		return {

			range: this._textSpanToRange(model, info.textSpan),

			contents: [{

				value: '```js\n' + contents + '\n```\n'

			}, {

				value: documentation + (tags ? '\n\n' + tags : '')

			}]

		};
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	public provideDocumentHighlights(model: monaco.editor.IReadOnlyModel, position: Position, token: CancellationToken): Thenable<monaco.languages.DocumentHighlight[]> {

		return this._worker(resource).then(worker => {

			return worker.getOccurrencesAtPosition(resource.toString(), this._positionToOffset(resource, position));

		}).then(entries => {

			if (!entries) {

				return;

			}

			return entries.map(entry => {

				return <monaco.languages.DocumentHighlight>{

					range: this._textSpanToRange(resource, entry.textSpan),

					kind: entry.isWriteAccess ? monaco.languages.DocumentHighlightKind.Write : monaco.languages.DocumentHighlightKind.Text

				};

			});
","	public async provideDocumentHighlights(model: monaco.editor.ITextModel, position: Position, token: CancellationToken): Promise<monaco.languages.DocumentHighlight[] | undefined> {

		const offset = model.getOffsetAt(position)

		const worker = await this._worker(resource);

		const entries = await worker.getOccurrencesAtPosition(resource.toString(), offset);

		if (!entries || model.isDisposed()) {

			return;

		}



		return entries.map(entry => {

			return <monaco.languages.DocumentHighlight>{

				range: this._textSpanToRange(model, entry.textSpan),

				kind: entry.isWriteAccess ? monaco.languages.DocumentHighlightKind.Write : monaco.languages.DocumentHighlightKind.Text

			};
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	public provideDefinition(model: monaco.editor.IReadOnlyModel, position: Position, token: CancellationToken): Thenable<monaco.languages.Definition> {

		return this._worker(resource).then(worker => {

			return worker.getDefinitionAtPosition(resource.toString(), this._positionToOffset(resource, position));

		}).then(entries => {

			if (!entries) {

				return;

			}

			const result: monaco.languages.Location[] = [];

			for (let entry of entries) {

				const uri = Uri.parse(entry.fileName);

				if (monaco.editor.getModel(uri)) {

					result.push({

						uri: uri,

						range: this._textSpanToRange(uri, entry.textSpan)

					});

				}

			return result;

		});
","	public async provideDefinition(model: monaco.editor.ITextModel, position: Position, token: CancellationToken): Promise<monaco.languages.Definition | undefined> {

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const entries = await worker.getDefinitionAtPosition(resource.toString(), offset);

		if (!entries || model.isDisposed()) {

			return;

		}



		const result: monaco.languages.Location[] = [];

		for (let entry of entries) {

			const uri = Uri.parse(entry.fileName);

			const refModel = monaco.editor.getModel(uri);

			if (refModel) {

				result.push({

					uri: uri,

					range: this._textSpanToRange(refModel, entry.textSpan)

				});

		}

		return result;
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	provideReferences(model: monaco.editor.IReadOnlyModel, position: Position, context: monaco.languages.ReferenceContext, token: CancellationToken): Thenable<monaco.languages.Location[]> {

		return this._worker(resource).then(worker => {

			return worker.getReferencesAtPosition(resource.toString(), this._positionToOffset(resource, position));

		}).then(entries => {

			if (!entries) {

				return;

			}

			const result: monaco.languages.Location[] = [];

			for (let entry of entries) {

				const uri = Uri.parse(entry.fileName);

				if (monaco.editor.getModel(uri)) {

					result.push({

						uri: uri,

						range: this._textSpanToRange(uri, entry.textSpan)

					});

				}

			return result;

		});
","	public async provideReferences(model: monaco.editor.ITextModel, position: Position, context: monaco.languages.ReferenceContext, token: CancellationToken): Promise<monaco.languages.Location[] | undefined> {

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const entries = await worker.getReferencesAtPosition(resource.toString(), offset);

		if (!entries || model.isDisposed()) {

			return;

		}



		const result: monaco.languages.Location[] = [];

		for (let entry of entries) {

			const uri = Uri.parse(entry.fileName);

			const refModel = monaco.editor.getModel(uri);

			if (refModel) {

				result.push({

					uri: uri,

					range: this._textSpanToRange(refModel, entry.textSpan)

				});

		}

		return result;
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	public provideDocumentSymbols(model: monaco.editor.IReadOnlyModel, token: CancellationToken): Thenable<monaco.languages.DocumentSymbol[]> {

		return this._worker(resource).then(worker => worker.getNavigationBarItems(resource.toString())).then(items => {

			if (!items) {

				return;

			}

			const convert = (bucket: monaco.languages.DocumentSymbol[], item: ts.NavigationBarItem, containerLabel?: string): void => {

				let result: monaco.languages.DocumentSymbol = {

					name: item.text,

					detail: '',

					kind: <monaco.languages.SymbolKind>(outlineTypeTable[item.kind] || monaco.languages.SymbolKind.Variable),

					range: this._textSpanToRange(resource, item.spans[0]),

					selectionRange: this._textSpanToRange(resource, item.spans[0]),

					tags: [],

					containerName: containerLabel

				};

				if (item.childItems && item.childItems.length > 0) {

					for (let child of item.childItems) {

						convert(bucket, child, result.name);

					}



				bucket.push(result);

			let result: monaco.languages.DocumentSymbol[] = [];

			items.forEach(item => convert(result, item));

			return result;

		});
","	public async provideDocumentSymbols(model: monaco.editor.ITextModel, token: CancellationToken): Promise<monaco.languages.DocumentSymbol[] | undefined> {

		const worker = await this._worker(resource);

		const items = await worker.getNavigationBarItems(resource.toString());

		if (!items || model.isDisposed()) {

			return;

		}

		const convert = (bucket: monaco.languages.DocumentSymbol[], item: ts.NavigationBarItem, containerLabel?: string): void => {

			let result: monaco.languages.DocumentSymbol = {

				name: item.text,

				detail: '',

				kind: <monaco.languages.SymbolKind>(outlineTypeTable[item.kind] || monaco.languages.SymbolKind.Variable),

				range: this._textSpanToRange(model, item.spans[0]),

				selectionRange: this._textSpanToRange(model, item.spans[0]),

				tags: [],

				containerName: containerLabel

			};

			if (item.childItems && item.childItems.length > 0) {

				for (let child of item.childItems) {

					convert(bucket, child, result.name);

			bucket.push(result);

		}



		let result: monaco.languages.DocumentSymbol[] = [];

		items.forEach(item => convert(result, item));

		return result;
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	protected _convertTextChanges(uri: Uri, change: ts.TextChange): monaco.editor.ISingleEditOperation {

		return <monaco.editor.ISingleEditOperation>{

			range: this._textSpanToRange(uri, change.span)

	provideDocumentRangeFormattingEdits(model: monaco.editor.IReadOnlyModel, range: Range, options: monaco.languages.FormattingOptions, token: CancellationToken): Thenable<monaco.editor.ISingleEditOperation[]> {

		return this._worker(resource).then(worker => {

			return worker.getFormattingEditsForRange(resource.toString(),

				this._positionToOffset(resource, { lineNumber: range.startLineNumber, column: range.startColumn }),

				this._positionToOffset(resource, { lineNumber: range.endLineNumber, column: range.endColumn }),

				FormatHelper._convertOptions(options));

		}).then(edits => {

			if (edits) {

				return edits.map(edit => this._convertTextChanges(resource, edit));

			}

		});
","	protected _convertTextChanges(model: monaco.editor.ITextModel, change: ts.TextChange): monaco.languages.TextEdit {

		return {

			range: this._textSpanToRange(model, change.span)

	public async provideDocumentRangeFormattingEdits(model: monaco.editor.ITextModel, range: Range, options: monaco.languages.FormattingOptions, token: CancellationToken): Promise<monaco.languages.TextEdit[] | undefined> {

		const startOffset = model.getOffsetAt({ lineNumber: range.startLineNumber, column: range.startColumn });

		const endOffset = model.getOffsetAt({ lineNumber: range.endLineNumber, column: range.endColumn });

		const worker = await this._worker(resource);

		const edits = await worker.getFormattingEditsForRange(resource.toString(), startOffset, endOffset, FormatHelper._convertOptions(options));

		if (!edits || model.isDisposed()) {

			return;

		}



		return edits.map(edit => this._convertTextChanges(model, edit));
",2019-12-20 19:47:49+01:00
e4ab9e4360fc8cd559a6550f329340986fb00135,Alex Dima,Adopt strict checking (fixes microsoft/monaco-editor#1715),src/languageFeatures.ts,https://github.com/microsoft/monaco-editor/commit/e4ab9e4360fc8cd559a6550f329340986fb00135,"	provideOnTypeFormattingEdits(model: monaco.editor.IReadOnlyModel, position: Position, ch: string, options: monaco.languages.FormattingOptions, token: CancellationToken): Thenable<monaco.editor.ISingleEditOperation[]> {

		return this._worker(resource).then(worker => {

			return worker.getFormattingEditsAfterKeystroke(resource.toString(),

				this._positionToOffset(resource, position),

				ch, FormatHelper._convertOptions(options));

		}).then(edits => {

			if (edits) {

				return edits.map(edit => this._convertTextChanges(resource, edit));

			}

		});
","	public async provideOnTypeFormattingEdits(model: monaco.editor.ITextModel, position: Position, ch: string, options: monaco.languages.FormattingOptions, token: CancellationToken): Promise<monaco.languages.TextEdit[] | undefined> {

		const offset = model.getOffsetAt(position);

		const worker = await this._worker(resource);

		const edits = await worker.getFormattingEditsAfterKeystroke(resource.toString(), offset, ch, FormatHelper._convertOptions(options));

		if (!edits || model.isDisposed()) {

			return;

		}



		return edits.map(edit => this._convertTextChanges(model, edit));
",2019-12-20 19:47:49+01:00
