commit_hash,author,message,file_path,commit_url,removed_chunk,added_chunk,commit_date
9de7aa3c86626278479518e70c6d9784bf702aad,Valeri Karpov,refactor; ES6-style promises in model,lib/model.js,https://github.com/automattic/mongoose/commit/9de7aa3c86626278479518e70c6d9784bf702aad,"  var self = this;

  var finalPromise = new Promise(fn);



  // Jank to be able to use mpromise.prototype.all()

  var p0 = new Promise;

  p0.fulfill();



  // Call save hooks on subdocs

  var p1 = p0.all(function () {

    var subDocs = self.$__getAllSubdocs();

    return subDocs.map(function (d) {return d.save();});

  });



  // Handle save and resaults

  p1

    .then(this.$__handleSave.bind(this, options))

    .then(function (result) {

      self.$__reset();

      self.$__storeShard();



      var numAffected = 0;

      if (result) {

        if (Array.isArray(result)) {

          numAffected = result.length;

        } else if (result.result && result.result.n !== undefined) {

          numAffected = result.result.n;

        } else if (result.result && result.result.nModified !== undefined) {

          numAffected = result.result.nModified;

        } else {

          numAffected = result;

      }



      // was this an update that required a version bump?

      if (self.$__.version && !self.$__.inserting) {

        var doIncrement = VERSION_INC === (VERSION_INC & self.$__.version);

        self.$__.version = undefined;

        if (numAffected <= 0) {

          // the update failed. pass an error back

          return finalPromise.reject(new VersionError);

        // increment version if was successful

        if (doIncrement) {

          var key = self.schema.options.versionKey;

          var version = self.getValue(key) | 0;

          self.setValue(key, version + 1);

        }

      }

      self.emit('save', self, numAffected);

      return finalPromise.fulfill(self, numAffected);

    }

    , function (err) {

      // If the initial insert fails provide a second chance.

      // (If we did this all the time we would break updates)

      if (self.$__.inserting) {

        self.isNew = true;

        self.emit('isNew', true);

      }

      finalPromise.reject(err);

    })

    .end();

  return finalPromise;
","  var _this = this;

  var promise = new Promise.ES6(function(resolve, reject) {

    async.each(

      _this.$__getAllSubdocs(),

      function(subdoc, cb) {

        subdoc.save(cb);

      },

      function(error) {

        if (error) {

          reject(error);

          return;

        resolve();

      });

  });

  return promise.

    then(this.$__handleSave.bind(this, options)).

    then(

      function(result) {

        _this.$__reset();

        _this.$__storeShard();



        var numAffected = 0;

        if (result) {

          if (Array.isArray(result)) {

            numAffected = result.length;

          } else if (result.result && result.result.n !== undefined) {

            numAffected = result.result.n;

          } else if (result.result && result.result.nModified !== undefined) {

            numAffected = result.result.nModified;

          } else {

            numAffected = result;

          }

        return new Promise.ES6(function(resolve, reject) {

          // was this an update that required a version bump?

          if (_this.$__.version && !_this.$__.inserting) {

            var doIncrement = VERSION_INC === (VERSION_INC & _this.$__.version);

            _this.$__.version = undefined;



            if (numAffected <= 0) {

              // the update failed. pass an error back

              var err = new VersionError();

              fn && fn(err);

              reject(err);

              return;

            }

            // increment version if was successful

            if (doIncrement) {

              var key = _this.schema.options.versionKey;

              var version = _this.getValue(key) | 0;

              _this.setValue(key, version + 1);

            }

          }

          _this.emit('save', _this, numAffected);

          fn && fn(null, _this, numAffected);

          resolve(_this, numAffected);

        });

      },

      function(err) {

        fn && fn(err);

        return new Promise.ES6(function(resolve, reject) {

          reject(err);

        });

      });
",2015-07-18 15:19:30-04:00
9bff7817f4a410b076590a4549e5c58624885160,Valeri Karpov,"docs(document): explain DocumentNotFoundError in save() docs

Fix #7580",lib/model.js,https://github.com/automattic/mongoose/commit/9bff7817f4a410b076590a4549e5c58624885160," *     product.save(function (err, product) {

 *       if (err) ..

 *     })

 * The callback will receive two parameters

 * 1. `err` if an error occurred

 * 2. `product` which is the saved `product`

 *

 * As an extra measure of flow control, save will return a Promise.

 *     product.save().then(function(product) {

 *        ...

 *     });
"," *     product = await product.save();

 * If save is successful, the returned promise will fulfill with the document

 * saved.

 *

 *     const newProduct = await product.save();

 *     newProduct === product; // true

 * @param {Session} [options.session=null] the [session](https://docs.mongodb.com/manual/reference/server-sessions/) associated with this save operation. If not specified, defaults to the [document's associated session](api.html#document_Document-$session).
",2019-03-16 19:55:56-04:00
da39639a9490c47615974f7c118757963bea4f36,Shihab Mridha,Merge from parent,lib/model.js,https://github.com/automattic/mongoose/commit/da39639a9490c47615974f7c118757963bea4f36," *     product.save(function (err, product) {

 *       if (err) ..

 *     })

 *

 * The callback will receive two parameters

 * 1. `err` if an error occurred

 * 2. `product` which is the saved `product`

 * As an extra measure of flow control, save will return a Promise.

 *     product.save().then(function(product) {

 *        ...

 *     });
"," *     product = await product.save();

 * If save is successful, the returned promise will fulfill with the document

 * saved.

 *

 *     const newProduct = await product.save();

 *     newProduct === product; // true

 * @param {Session} [options.session=null] the [session](https://docs.mongodb.com/manual/reference/server-sessions/) associated with this save operation. If not specified, defaults to the [document's associated session](api.html#document_Document-$session).
",2019-04-04 16:24:33+06:00
fd1a6513acadc40b778a60b7444423ffd4fd94ea,Hafez,docs(document): copy Model#save to Document#save,lib/document.js,https://github.com/automattic/mongoose/commit/fd1a6513acadc40b778a60b7444423ffd4fd94ea," *     product.save(function (err, product) {

 *       if (err) ..

 *     })

 *

 * The callback will receive two parameters

 * 1. `err` if an error occurred

 * 2. `product` which is the saved `product`

 * As an extra measure of flow control, save will return a Promise.

 *     product.save().then(function(product) {

 *        ...

 *     });

 * @param {Object} [options.safe] (DEPRECATED) overrides [schema's safe option](http://mongoosejs.com//docs/guide.html#safe)
"," *     product = await product.save();

 * If save is successful, the returned promise will fulfill with the document

 * saved.

 *

 *     const newProduct = await product.save();

 *     newProduct === product; // true

 * @param {Session} [options.session=null] the [session](https://docs.mongodb.com/manual/reference/server-sessions/) associated with this save operation. If not specified, defaults to the [document's associated session](api.html#document_Document-$session).

 * @param {Object} [options.safe] (DEPRECATED) overrides [schema's safe option](http://mongoosejs.com//docs/guide.html#safe). Use the `w` option instead.

 * @param {Number|String} [options.w] set the [write concern](https://docs.mongodb.com/manual/reference/write-concern/#w-option). Overrides the [schema-level `writeConcern` option](/docs/guide.html#writeConcern)

 * @param {Boolean} [options.j] set to true for MongoDB to wait until this `save()` has been [journaled before resolving the returned promise](https://docs.mongodb.com/manual/reference/write-concern/#j-option). Overrides the [schema-level `writeConcern` option](/docs/guide.html#writeConcern)

 * @param {Number} [options.wtimeout] sets a [timeout for the write concern](https://docs.mongodb.com/manual/reference/write-concern/#wtimeout). Overrides the [schema-level `writeConcern` option](/docs/guide.html#writeConcern).

 * @param {Boolean} [options.checkKeys=true] the MongoDB driver prevents you from saving keys that start with '$' or contain '.' by default. Set this option to `false` to skip that check. See [restrictions on field names](https://docs.mongodb.com/manual/reference/limits/#Restrictions-on-Field-Names)

 * @param {Boolean} [options.timestamps=true] if `false` and [timestamps](./guide.html#timestamps) are enabled, skip timestamps for this `save()`.

 * @throws {DocumentNotFoundError} if this [save updates an existing document](api.html#document_Document-isNew) but the document doesn't exist in the database. For example, you will get this error if the document is [deleted between when you retrieved the document and when you saved it](documents.html#updating).
",2020-05-08 23:31:53+02:00
14a4fb843ea0b914f3e34ab6bc316c292b60b73c,Valeri Karpov,"BREAKING CHANGE: throw error by default if populating a path that isn't in the schema

Re: #5124",lib/model.js,https://github.com/automattic/mongoose/commit/14a4fb843ea0b914f3e34ab6bc316c292b60b73c," *     // populates a single object

 *     User.findById(id, function (err, user) {

 *       var opts = [

 *         { path: 'company', match: { x: 1 }, select: 'name' },

 *         { path: 'notes', options: { limit: 10 }, model: 'override' }

 *       ];

 *

 *       User.populate(user, opts, function (err, user) {

 *         console.log(user);

 *       });

 *     });

 *     // populates an array of objects

 *     User.find(match, function (err, users) {

 *       var opts = [{ path: 'company', match: { x: 1 }, select: 'name' }];

 *

 *       var promise = User.populate(users, opts);

 *       promise.then(console.log).end();

 *     })

 *

 *     // imagine a Weapon model exists with two saved documents:

 *     //   { _id: 389, name: 'whip' }

 *     //   { _id: 8921, name: 'boomerang' }

 *     // and this schema:

 *     // new Schema({

 *     //   name: String,

 *     //   weapon: { type: ObjectId, ref: 'Weapon' }

 *     // });

 *

 *     var user = { name: 'Indiana Jones', weapon: 389 };

 *     Weapon.populate(user, { path: 'weapon', model: 'Weapon' }, function (err, user) {

 *       console.log(user.weapon.name); // whip

 *     })

 *     var users = [{ name: 'Indiana Jones', weapon: 389 }]

 *     users.push({ name: 'Batman', weapon: 8921 })

 *     Weapon.populate(users, { path: 'weapon' }, function (err, users) {

 *       users.forEach(function (user) {

 *         console.log('%s uses a %s', users.name, user.weapon.name)

 *         // Indiana Jones uses a whip

 *         // Batman uses a boomerang

 *       });

 *     });

 *     // Note that we didn't need to specify the Weapon model because

 *     // it is in the schema's ref
"," * - strictPopulate: optional boolean, set to `false` to allow populating paths that aren't in the schema.

 *     const Dog = mongoose.model('Dog', new Schema({ name: String, breed: String }));

 *     const Person = mongoose.model('Person', new Schema({

 *       name: String,

 *       pet: { type: mongoose.ObjectId, ref: 'Dog' }

 *     }));

 *     const pets = await Pet.create([

 *       { name: 'Daisy', breed: 'Beagle' },

 *       { name: 'Einstein', breed: 'Catalan Sheepdog' }

 *     ]);

 *     const users = [

 *       { name: 'John Wick', dog: pets[0]._id },

 *       { name: 'Doc Brown', dog: pets[1]._id }

 *     ];

 *     await User.populate(users, { path: 'dog', select: 'name' });

 *     users[0].dog.name; // 'Daisy'

 *     users[0].dog.breed; // undefined because of `select`
",2020-06-17 10:51:26-04:00
ffdfe887abe213fd15ecce102016cb91db675c78,Valeri Karpov,"docs(model): make `create()` docs use async/await, and add another warning about how `create()` with options requires array syntax

Fix #9280",lib/model.js,https://github.com/automattic/mongoose/commit/ffdfe887abe213fd15ecce102016cb91db675c78," *     // pass a spread of docs and a callback

 *     Candy.create({ type: 'jelly bean' }, { type: 'snickers' }, function (err, jellybean, snickers) {

 *       if (err) // ...

 *     });

 *

 *     // pass an array of docs

 *     var array = [{ type: 'jelly bean' }, { type: 'snickers' }];

 *     Candy.create(array, function (err, candies) {

 *       if (err) // ...

 *

 *       var jellybean = candies[0];

 *       var snickers = candies[1];

 *       // ...

 *     });

 *

 *     // callback is optional; use the returned promise if you like:

 *     var promise = Candy.create({ type: 'jawbreaker' });

 *     promise.then(function (jawbreaker) {

 *       // ...

 *     })
"," *     // Insert one new `Character` document

 *     await Character.create({ name: 'Jean-Luc Picard' });

 * 

 *     // Insert multiple new `Character` documents

 *     await Character.create([{ name: 'Will Riker' }, { name: 'Geordi LaForge' }]);

 * 

 *     // Create a new character within a transaction. Note that you **must**

 *     // pass an array as the first parameter to `create()` if you want to

 *     // specify options.

 *     await Character.create([{ name: 'Jean-Luc Picard' }], { session });
",2020-07-26 17:27:30-04:00
0fffe252c00a3239ee757d8e7b52312165ed68c1,Valeri Karpov,"docs(model+query): clarify that `deleteOne` and `deleteMany` trigger middleware

Fix #9504",lib/query.js,https://github.com/automattic/mongoose/commit/0fffe252c00a3239ee757d8e7b52312165ed68c1," * This function does not trigger any middleware.

 *     Character.deleteOne({ name: 'Eddard Stark' }).then(next);
"," * This function triggers `deleteOne` middleware.

 *     await Character.deleteOne({ name: 'Eddard Stark' });

 *

 *     // Using callbacks:
",2020-10-30 10:17:50-04:00
0fffe252c00a3239ee757d8e7b52312165ed68c1,Valeri Karpov,"docs(model+query): clarify that `deleteOne` and `deleteMany` trigger middleware

Fix #9504",lib/query.js,https://github.com/automattic/mongoose/commit/0fffe252c00a3239ee757d8e7b52312165ed68c1," * This function does not trigger any middleware

 *     Character.deleteMany({ name: /Stark/, age: { $gte: 18 } }, callback)

 *     Character.deleteMany({ name: /Stark/, age: { $gte: 18 } }).then(next)
"," * This function triggers `deleteMany` middleware.

 *     await Character.deleteMany({ name: /Stark/, age: { $gte: 18 } });

 *

 *     // Using callbacks:

 *     Character.deleteMany({ name: /Stark/, age: { $gte: 18 } }, callback);
",2020-10-30 10:17:50-04:00
308934210593f11b950528350c8fe82560224d48,Hafez,refactor more tests to async/await,test/query.cursor.test.js,https://github.com/automattic/mongoose/commit/308934210593f11b950528350c8fe82560224d48,"  it('eachAsync() with parallel > numDocs (gh-8422)', function() {

    return co(function*() {

      yield Movie.deleteMany({});

      yield Movie.create([

        { name: 'Kickboxer' },

        { name: 'Ip Man' },

        { name: 'Enter the Dragon' }

      ]);

      let numDone = 0;

      const test = co.wrap(function*() {

        yield new Promise((resolve) => setTimeout(resolve, 100));

        ++numDone;

      });

      yield Movie.find().cursor().eachAsync(test, { parallel: 4 });

      assert.equal(numDone, 3);

    });

  it('eachAsync() with sort, parallel, and sync function (gh-8557)', function() {

    return co(function*() {

      yield User.create([{ order: 1 }, { order: 2 }, { order: 3 }]);

      const cursor = User.aggregate([{ $sort: { order: 1 } }]).

        cursor();

      const docs = [];

      yield cursor.eachAsync((doc) => docs.push(doc), { parallel: 3 });

      assert.deepEqual(docs.map(d => d.order), [1, 2, 3]);

    });
","  it('eachAsync() with parallel > numDocs (gh-8422)', async function() {

    await Movie.deleteMany({});

    await Movie.create([

      { name: 'Kickboxer' },

      { name: 'Ip Man' },

      { name: 'Enter the Dragon' }

    ]);

    let numDone = 0;

    await delay(100);

    ++numDone;

    await Movie.find().cursor().eachAsync(test, { parallel: 4 });

    assert.equal(numDone, 3);

  it('eachAsync() with sort, parallel, and sync function (gh-8557)', async function() {

    await User.create([{ order: 1 }, { order: 2 }, { order: 3 }]);

    const cursor = User.aggregate([{ $sort: { order: 1 } }]).

      cursor();

    const docs = [];

    await cursor.eachAsync((doc) => docs.push(doc), { parallel: 3 });

    assert.deepEqual(docs.map(d => d.order), [1, 2, 3]);
",2021-08-29 23:23:24+02:00
bb7c0210775c845acb9498ea10f39e6d0a39e89a,Valeri Karpov,"docs(defaults): clarify that `setDefaultsOnInsert` is `true` by default in 6.x

Fix #10643",test/docs/defaults.test.js,https://github.com/automattic/mongoose/commit/bb7c0210775c845acb9498ea10f39e6d0a39e89a,"    return Movie.findOneAndUpdate(query, update, options).then(doc => {

      doc.genre; // 'Action', Mongoose set a default value.

      // acquit:ignore:start

      assert.equal(doc.title, 'The Terminator');

      assert.equal(doc.genre, 'Action');

      // acquit:ignore:end

      return doc;

    });
","    let doc = await Movie.findOneAndUpdate(query, update, options).lean();

    doc.genre; // 'Action', Mongoose set a default value.

    // acquit:ignore:start

    assert.equal(doc.title, 'The Terminator');

    assert.equal(doc.genre, 'Action');

    // acquit:ignore:end



    await Movie.deleteMany({});



    doc = await Movie.findOneAndUpdate(query, update, { ...options, setDefaultsOnInsert: false }).lean();

    doc.genre; // undefined, Mongoose did not set a default value

    // acquit:ignore:start

    assert.equal(doc.title, 'The Terminator');

    assert.equal(doc.genre, void 0);

    // acquit:ignore:end
",2021-09-01 16:25:31-04:00
